t,x,y,z
1782661512.858,-0.00411,-0.00524,-0.00217
1782661512.891,-0.00411,-0.00524,-0.00217
1782661512.925,-0.00411,-0.00524,-0.00217
1782661512.958,-0.00411,-0.00524,-0.00217
1782661512.991,-0.00411,-0.00524,-0.00217
1782661513.025,-0.00411,-0.00524,-0.00217
1782661513.092,-0.00411,-0.00524,-0.00217
1782661513.125,-0.00411,-0.00524,-0.00217
1782661513.158,-0.00411,-0.00524,-0.00217
1782661513.192,-0.00411,-0.00524,-0.00217
1782661513.258,-0.00411,-0.00524,-0.00217
1782661513.292,-0.00411,-0.00524,-0.00217
1782661513.325,-0.00411,-0.00524,-0.00217
1782661513.358,-0.00411,-0.00524,-0.00217
1782661513.392,-0.00411,-0.00524,-0.00217
1782661513.458,-0.00615,-0.00394,0.00364
1782661513.492,-0.00683,-0.00399,0.00123
1782661513.525,-0.00942,-0.00424,0.00217
1782661513.558,-0.01084,-0.00513,0.00382
1782661513.592,-0.01228,-0.00415,0.00506
1782661513.625,-0.01019,-0.00484,0.00404
1782661513.658,-0.01546,-0.00457,0.00352
1782661513.692,-0.01227,-0.00912,0.00484
1782661513.758,-0.01136,-0.00613,0.00232
1782661513.792,-0.00988,-0.00571,0.00447
1782661513.825,-0.00795,-0.00504,0.00306
1782661513.859,-0.00795,-0.00504,0.00306
1782661513.892,-0.00795,-0.00504,0.00306
1782661513.925,-0.00795,-0.00504,0.00306
1782661513.959,-0.00795,-0.00504,0.00306
1782661513.992,-0.00795,-0.00504,0.00306
1782661514.025,-0.00795,-0.00504,0.00306
1782661514.092,-0.00795,-0.00504,0.00306
1782661514.125,-0.00795,-0.00504,0.00306
1782661514.159,-0.00795,-0.00504,0.00306
1782661514.192,-0.00795,-0.00504,0.00306
1782661514.292,-0.00795,-0.00504,0.00306
1782661514.325,-0.00795,-0.00504,0.00306
1782661514.359,-0.00795,-0.00504,0.00306
1782661514.392,-0.00842,-0.00498,0.00264
1782661514.425,-0.00615,-0.00590,0.00171
1782661514.492,0.00746,-0.00499,-0.00241
1782661514.592,0.03578,-0.00356,-0.01146
1782661514.626,0.04699,-0.00357,-0.01466
1782661514.659,0.05251,-0.00410,-0.01644
1782661514.692,0.05504,-0.00507,-0.01725
1782661514.726,0.05504,-0.00507,-0.01725
1782661514.759,0.06329,-0.00367,-0.01953
1782661514.792,0.06486,-0.00239,-0.02019
1782661514.859,0.07607,0.00049,-0.02389
1782661514.892,0.08098,0.00217,-0.02650
1782661514.926,0.08562,0.00447,-0.02762
1782661514.959,0.09041,0.00670,-0.02843
1782661514.992,0.09565,0.00800,-0.03099
